73148	246.399510000	076a
76648	258.329067000	059b
76652	258.333057000	076a
76654	258.337054000	00
76658	258.341052000	
76662	258.346191000	0c68
76664	258.350058000	059b
76668	258.354059000	076b
80172	270.296602000	059b
80176	270.300611000	076b
80178	270.304607000	00
80182	270.308620000	
80186	270.313618000	0c68
80188	270.317611000	059c
80192	270.321615000	076b
83602	281.943150000	059c
83606	281.947162000	076b
83608	281.951145000	00
83612	281.955150000	
83616	281.960152000	0c68
83618	281.964157000	059c
83622	281.968160000	076c
87028	293.574698000	059c
87032	293.578689000	076c
87034	293.582919000	00
87038	293.586699000	
87040	293.591685000	0c68
87044	293.595672000	059d
87048	293.599679000	076c
90320	304.752198000	059d
90324	304.756346000	076c
90327	304.760203000	00
90330	304.764324000	
90334	304.769195000	0c68
90336	304.773198000	059d
90340	304.777198000	076d
93492	315.514683000	059d
93494	315.518691000	076d
93498	315.522694000	00
93502	315.526693000	
93504	315.531697000	0c68
93508	315.535725000	059e
93512	315.539688000	076d
96234	324.816152000	059e
96238	324.820124000	076d
96242	324.824125000	00
96244	324.828128000	
96248	324.833125000	0c68
96250	324.837127000	059f
96254	324.841114000	076e
